Species,N_1_start,N_1_end,M_1_start,M_1_end,T_1_start,T_1_end,B_start,B_end,T_2_start,T_2_end,M_2_start,M_2_end,N_2_start,N_2_end
Black-throated Blue Warbler,1/1/16,3/14/16,3/15/16,5/7/16,5/8/16,5/23/16,5/24/16,8/23/16,8/24/16,8/31/16,9/1/16,10/31/16,11/1/16,12/31/16
Pine Warbler,1/1/16,2/29/16,3/1/16,4/14/16,4/15/16,5/14/16,5/15/16,8/7/16,8/8/16,8/14/16,8/15/16,11/30/16,12/1/16,12/31/16
Yellow-rumped Warbler,1/1/16,3/31/16,4/1/16,5/7/16,5/8/16,5/31/16,6/1/16,8/23/16,8/24/16,9/7/16,9/8/16,11/7/16,11/8/16,12/31/16
Yellow-throated Warbler,1/1/16,3/14/16,3/15/16,5/7/16,5/8/16,5/31/16,6/1/16,7/14/16,7/15/16,7/31/16,8/1/16,9/30/16,10/1/16,12/31/16
Prairie Warbler,1/1/16,2/29/16,3/1/16,4/23/16,4/24/16,5/31/16,6/1/16,8/14/16,8/15/16,8/23/16,8/24/16,10/14/16,10/15/16,12/31/16
Black-throated Green Warbler,1/1/16,3/31/16,4/1/16,5/23/16,5/24/16,6/7/16,6/8/16,7/31/16,8/1/16,8/31/16,9/1/16,10/31/16,11/1/16,12/31/16
Wayne's Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada Warbler,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,5/31/16,6/1/16,7/14/16,7/15/16,8/23/16,8/24/16,10/14/16,10/15/16,12/31/16
Yellow-breasted Chat,1/1/16,4/14/16,4/15/16,5/7/16,5/8/16,5/31/16,6/1/16,8/7/16,8/8/16,9/7/16,9/8/16,9/30/16,10/1/16,12/31/16
Eastern Towhee,1/1/16,4/7/16,4/8/16,4/23/16,4/24/16,5/23/16,5/24/16,8/31/16,9/1/16,10/7/16,10/8/16,11/23/16,11/24/16,12/31/16
Bachman's sparrow,1/1/16,3/14/16,3/15/16,4/30/16,5/1/16,5/31/16,6/1/16,8/7/16,8/8/16,8/31/16,9/1/16,11/23/16,11/24/16,12/31/16
Chipping Sparrow,1/1/16,2/14/16,2/15/16,4/14/16,4/15/16,4/30/16,5/1/16,8/31/16,9/1/16,9/30/16,10/1/16,11/23/16,11/24/16,12/31/16
Field Sparrow,1/1/16,3/31/16,4/1/16,4/14/16,4/15/16,4/30/16,5/1/16,8/31/16,9/1/16,9/14/16,9/15/16,10/31/16,11/1/16,12/31/16
Grasshopper Sparrow,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,5/31/16,6/1/16,8/31/16,9/1/16,9/30/16,10/1/16,10/31/16,11/1/16,12/31/16
Henslow's Sparrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saltmarsh Sparrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seaside Sparrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vesper Sparrow,1/1/16,2/23/16,2/24/16,4/30/16,5/1/16,5/14/16,5/15/16,8/31/16,9/1/16,9/14/16,9/15/16,10/31/16,11/1/16,12/31/16
Savannah Sparrow,1/1/16,3/14/16,3/15/16,4/14/16,4/15/16,5/31/16,6/1/16,8/14/16,8/15/16,9/14/16,9/15/16,11/14/16,11/15/16,12/31/16
Song Sparrow,1/1/16,2/23/16,2/24/16,3/31/16,4/1/16,4/30/16,5/1/16,9/7/16,9/8/16,9/23/16,9/24/16,10/31/16,11/1/16,12/31/16
Swamp Sparrow,1/1/16,3/23/16,3/24/16,4/30/16,5/1/16,5/14/16,5/15/16,8/31/16,9/1/16,9/30/16,10/1/16,11/14/16,11/15/16,12/31/16
Dark-eyed Junco,1/1/16,2/14/16,2/15/16,3/14/16,3/15/16,4/14/16,4/15/16,8/23/16,8/24/16,9/14/16,9/15/16,11/14/16,11/15/16,12/31/16
Summer Tanager,1/1/16,2/14/16,2/15/16,5/14/16,5/15/16,5/31/16,6/1/16,8/14/16,8/15/16,9/7/16,9/8/16,11/23/16,11/24/16,12/31/16
Scarlet Tanager,1/1/16,2/14/16,2/15/16,5/7/16,5/8/16,5/23/16,5/24/16,8/14/16,11/15/16,11/23/16,9/15/16,11/14/16,11/24/16,12/31/16
Northern Cardinal,1/1/16,3/31/16,NA,NA,NA,NA,4/1/16,9/30/16,NA,NA,NA,NA,10/1/16,12/31/16
Rose-breasted Grosbeak,1/1/16,3/14/16,3/15/16,5/23/16,5/24/16,6/14/16,6/15/16,8/14/16,8/15/16,8/31/16,9/1/16,10/31/16,11/1/16,12/31/16
Blue Grosbeak,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,6/14/16,6/15/16,8/14/16,8/15/16,9/7/16,9/8/16,11/14/16,11/15/16,12/31/16
Indigo Bunting,1/1/16,4/14/16,4/15/16,5/7/16,5/8/16,5/31/16,6/1/16,8/31/16,9/1/16,9/30/16,10/1/16,11/23/16,11/24/16,12/31/16
Dickcissel,1/1/16,3/14/16,3/15/16,5/14/16,5/15/16,5/31/16,6/1/16,8/14/16,8/15/16,9/7/16,9/8/16,11/30/16,12/1/16,12/31/16
Bobolink,1/1/16,3/14/16,3/15/16,5/14/16,5/15/16,6/14/16,6/15/16,7/14/16,7/15/16,8/14/16,8/15/16,12/14/16,12/15/16,12/31/16
Red-winged Blackbird,1/1/16,2/14/16,2/15/16,4/14/16,4/15/16,4/30/16,5/1/16,8/14/16,8/15/16,10/14/16,10/15/16,12/14/16,12/15/16,12/31/16
Eastern Meadowlark,1/1/16,2/14/16,2/15/16,4/14/16,4/15/16,4/30/16,5/1/16,9/7/16,9/8/16,9/30/16,10/1/16,11/30/16,12/1/16,12/31/16
Common Grackle,1/1/16,2/14/16,2/15/16,3/23/16,3/24/16,4/30/16,5/1/16,7/14/16,7/15/16,9/14/16,9/15/16,11/23/16,11/24/16,12/31/16
Boat-tailed Grackle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown-headed Cowbird,1/1/16,4/14/16,NA,NA,4/15/16,5/14/16,5/15/16,7/23/16,7/24/16,8/14/16,8/15/16,10/14/16,10/15/16,12/31/16
Orchard Oriole,1/1/16,2/29/16,3/1/16,5/14/16,5/15/16,5/31/16,6/1/16,7/14/16,7/15/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
Baltimore Oriole,1/1/16,3/31/16,4/1/16,5/14/16,5/15/16,5/31/16,6/1/16,7/14/16,7/15/16,8/7/16,8/8/16,10/31/16,11/1/16,12/31/16
House Finch,1/1/16,3/14/16,NA,NA,NA,NA,3/15/16,8/7/16,NA,NA,NA,NA,8/8/16,12/31/16
Red Crossbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Goldfinch,1/1/16,4/30/16,5/1/16,6/7/16,6/8/16,6/14/16,6/15/16,9/14/16,9/15/16,10/23/16,10/24/16,12/14/16,12/15/16,12/31/16
House Sparrow,1/1/16,3/31/16,NA,NA,NA,NA,4/1/16,9/30/16,NA,NA,NA,NA,10/1/16,12/31/16
