Species,N_1_start,N_1_end,M_1_start,M_1_end,T_1_start,T_1_end,B_start,B_end,T_2_start,T_2_end,M_2_start,M_2_end,N_2_start,N_2_end
Black Vulture,1/1/16,2/23/16,2/24/16,2/29/16,3/1/16,4/30/16,5/1/16,7/31/16,8/1/16,8/7/16,8/8/16,10/14/16,10/15/16,12/31/16
Turkey Vulture,1/1/16,2/14/16,2/15/16,4/14/16,4/15/16,5/14/16,5/15/16,7/31/16,8/1/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
Osprey,1/1/16,1/31/16,NA,NA,2/1/16,5/23/16,5/24/16,7/31/16,8/1/16,9/30/16,10/1/16,11/14/16,11/15/16,12/31/16
Mississippi Kite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bald Eagle,NA,NA,NA,NA,1/1/16,5/23/16,5/24/16,8/7/16,8/8/16,8/23/16,8/24/16,11/14/16,11/15/16,12/31/16
Northern Harrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sharp-shinned Hawk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper's Hawk,1/1/16,2/29/16,3/1/16,3/31/16,4/1/16,5/23/16,5/24/16,8/23/16,8/24/16,8/31/16,9/1/16,10/31/16,11/1/16,12/31/16
Red-shouldered Hawk,1/1/16,2/14/16,2/15/16,3/23/16,3/24/16,4/7/16,4/8/16,8/31/16,9/1/16,9/30/16,10/1/16,11/7/16,11/8/16,12/31/16
Broad-winged Hawk,1/1/16,3/14/16,3/15/16,4/23/16,4/24/16,5/23/16,5/24/16,8/14/16,8/15/16,8/31/16,9/1/16,11/30/16,12/1/16,12/31/16
Red-tailed Hawk,1/1/16,2/29/16,3/1/16,3/14/16,3/15/16,4/14/16,4/15/16,8/31/16,9/1/16,9/14/16,9/15/16,11/30/16,12/1/16,12/31/16
Golden Eagle,NA,NA,NA,NA,1/1/16,5/23/16,5/24/16,8/7/16,8/8/16,8/23/16,8/24/16,11/14/16,11/15/16,12/31/16
Black Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clapper Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
King Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
